ags,land_total,land_settlement,land_traffic,veg_agri,veg_forrest,veg_wood,veg_heath,veg_moor,veg_marsh,veg_plant_uncover_com,water_total,settlement_ghd
01051076,1040.0,56.0,39.0,928.0,0.0,0.0,,,,1.0,16.0,0.0
01051077,977.0,25.0,25.0,883.0,,,,,,8.0,36.0,
01051078,875.0,97.0,39.0,685.0,31.0,3.0,,,,8.0,13.0,7.0
01051079,690.0,34.0,28.0,616.0,,0.0,,,,1.0,11.0,0.0
01051080,433.0,14.0,12.0,399.0,2.0,0.0,,,0.0,0.0,6.0,0.0
01051081,1847.0,57.0,77.0,1669.0,5.0,0.0,,,,1.0,38.0,
01051082,2656.0,188.0,139.0,1684.0,256.0,8.0,,0.0,,287.0,93.0,6.0
01051083,1127.0,36.0,30.0,648.0,359.0,,,,,36.0,17.0,1.0
01051084,464.0,24.0,30.0,399.0,,0.0,,,,1.0,10.0,0.0
01051085,1395.0,40.0,40.0,1124.0,47.0,,,29.0,3.0,65.0,47.0,2.0
01051086,1709.0,56.0,47.0,1477.0,58.0,,,24.0,6.0,11.0,29.0,0.0
01051087,666.0,69.0,32.0,439.0,56.0,,,35.0,,4.0,30.0,1.0
01051088,1080.0,113.0,42.0,825.0,9.0,1.0,,,,37.0,53.0,3.0
01051089,695.0,22.0,38.0,258.0,373.0,,0.0,,,2.0,2.0,0.0
01051090,480.0,22.0,16.0,426.0,3.0,,,,,0.0,12.0,
01051092,1463.0,63.0,47.0,921.0,42.0,1.0,,,11.0,349.0,28.0,4.0
01051093,683.0,32.0,23.0,605.0,1.0,,,,,0.0,22.0,
01051096,1489.0,53.0,47.0,1302.0,4.0,,,,2.0,14.0,68.0,1.0
01051097,2306.0,305.0,157.0,1631.0,129.0,4.0,23.0,,,21.0,36.0,17.0
01051098,1339.0,69.0,44.0,975.0,156.0,,,0.0,1.0,44.0,51.0,2.0
01051099,1816.0,130.0,109.0,1383.0,122.0,6.0,,,,20.0,46.0,6.0
01051100,1252.0,110.0,46.0,957.0,37.0,0.0,,57.0,0.0,35.0,9.0,5.0
01051102,1250.0,42.0,40.0,1121.0,9.0,,,,,6.0,32.0,0.0
01051103,591.0,29.0,19.0,531.0,1.0,,,,,1.0,10.0,2.0
01051104,501.0,10.0,16.0,392.0,41.0,3.0,38.0,,1.0,1.0,1.0,
01051105,927.0,56.0,32.0,809.0,0.0,,,,,0.0,30.0,0.0
01051107,1071.0,41.0,59.0,864.0,5.0,2.0,,,,79.0,20.0,1.0
01051108,440.0,16.0,13.0,402.0,,,,,,,9.0,0.0
01051109,664.0,37.0,25.0,582.0,3.0,0.0,,,,1.0,16.0,3.0
01051110,1574.0,67.0,59.0,1311.0,99.0,2.0,0.0,,,19.0,17.0,0.0
01051111,,,,,,,,,,,,
01051113,2177.0,113.0,95.0,1901.0,1.0,,,,,14.0,52.0,3.0
01051114,2110.0,176.0,89.0,1643.0,39.0,0.0,,1.0,78.0,44.0,40.0,8.0
01051117,1268.0,25.0,23.0,1127.0,1.0,,,,,20.0,71.0,
01051118,779.0,35.0,24.0,703.0,,,,,,0.0,17.0,0.0
01051119,1678.0,60.0,54.0,1532.0,0.0,2.0,,,,1.0,30.0,2.0
01051120,186.0,6.0,7.0,163.0,3.0,,,,,2.0,6.0,0.0
01051121,458.0,51.0,17.0,325.0,0.0,0.0,,,1.0,33.0,31.0,
01051122,1789.0,160.0,98.0,1317.0,155.0,12.0,,,0.0,27.0,19.0,24.0
01051125,760.0,40.0,27.0,322.0,269.0,0.0,,,70.0,24.0,7.0,1.0
01051126,459.0,14.0,16.0,298.0,103.0,,1.0,,,12.0,17.0,
01051127,513.0,143.0,36.0,318.0,2.0,1.0,,,,4.0,10.0,10.0
01051128,507.0,16.0,15.0,453.0,0.0,,,,,11.0,12.0,0.0
01051129,2189.0,44.0,45.0,1499.0,0.0,,,,,17.0,584.0,1.0
01051130,376.0,83.0,22.0,262.0,2.0,,,,,2.0,5.0,4.0
01051131,414.0,14.0,10.0,376.0,2.0,1.0,,,,9.0,3.0,0.0
01051132,750.0,66.0,27.0,623.0,,0.0,,,,5.0,29.0,1.0
01051133,508.0,14.0,17.0,428.0,37.0,,,,,1.0,10.0,
01051134,1731.0,83.0,61.0,1407.0,66.0,0.0,,,,94.0,20.0,9.0
01051135,611.0,35.0,17.0,510.0,19.0,2.0,,,2.0,12.0,13.0,1.0
01051136,1145.0,69.0,54.0,975.0,10.0,1.0,,,0.0,12.0,23.0,1.0
01051137,3410.0,86.0,107.0,2975.0,3.0,0.0,,,1.0,82.0,156.0,2.0
01051138,1936.0,92.0,122.0,1401.0,184.0,0.0,,0.0,,102.0,34.0,7.0
01051139,1621.0,52.0,54.0,1419.0,73.0,,,,0.0,2.0,20.0,
01051140,1419.0,49.0,45.0,1296.0,0.0,0.0,,,,0.0,28.0,1.0
01051141,844.0,54.0,26.0,727.0,24.0,0.0,,,,3.0,10.0,0.0
01053000,126307.0,9668.0,5257.0,72288.0,32706.0,104.0,271.0,260.0,264.0,293.0,5195.0,718.0
01053001,418.0,5.0,6.0,151.0,255.0,,,,,,1.0,
01053002,644.0,68.0,55.0,428.0,77.0,2.0,0.0,,,1.0,14.0,15.0
01053003,348.0,167.0,40.0,20.0,115.0,1.0,,,,0.0,4.0,5.0
01053004,430.0,42.0,16.0,256.0,111.0,,,,1.0,0.0,3.0,0.0
01053005,650.0,22.0,18.0,464.0,141.0,,,,0.0,0.0,4.0,1.0
01053006,747.0,39.0,27.0,562.0,88.0,,,,0.0,13.0,17.0,
01053007,1082.0,31.0,40.0,652.0,350.0,1.0,,,,1.0,6.0,
01053008,1025.0,35.0,30.0,678.0,196.0,1.0,,,2.0,5.0,78.0,0.0
01053009,1025.0,99.0,63.0,771.0,60.0,5.0,0.0,,9.0,3.0,15.0,4.0
01053010,1265.0,14.0,69.0,673.0,497.0,,,,0.0,0.0,11.0,0.0
01053011,1035.0,44.0,33.0,582.0,371.0,1.0,,,2.0,,3.0,
01053012,841.0,167.0,57.0,448.0,164.0,,0.0,,2.0,1.0,3.0,5.0
01053013,864.0,22.0,21.0,324.0,490.0,0.0,,,,1.0,6.0,1.0
01053014,1254.0,117.0,53.0,1024.0,50.0,,,,0.0,0.0,10.0,10.0
01053015,1069.0,23.0,38.0,596.0,389.0,17.0,2.0,,,,5.0,1.0
01053016,429.0,11.0,17.0,103.0,297.0,,,,,,1.0,
01053017,1376.0,153.0,46.0,901.0,268.0,,,,,1.0,6.0,4.0
01053018,293.0,24.0,27.0,205.0,32.0,,,,0.0,2.0,2.0,0.0
01053019,519.0,47.0,20.0,337.0,89.0,0.0,9.0,,,7.0,9.0,13.0
01053020,1685.0,288.0,140.0,905.0,219.0,1.0,90.0,,3.0,3.0,37.0,42.0
01053021,204.0,13.0,8.0,174.0,7.0,,,,,,1.0,
01053022,605.0,28.0,39.0,426.0,67.0,2.0,,,4.0,1.0,39.0,0.0
